test_index,claim,evidence,true_label,predicted_label,error_category
84,"mannam foundation centre for education technology, poruvazhy, edakkad p.o., kollam is located in kollam district, kerala.","college: mannam foundation centre for education technology, poruvazhy, edakkad p.o., kollam (affiliated college). university: university of kerala, thiruvananthapuram (state public university ). location: kollam, kerala (rural). address: edakkad.p.o,(via) kadampanad, kollam dist. pin. 691552., ezhammile. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,negation problem
93,"adarsh institute of technology & research centre, post ? khambale (bha.), near midc,tasgaon road, vita, tal. khanapur dist. sangli is located in sawai madhopur district, maharashtra.","college: adarsh institute of technology & research centre, post ? khambale (bha.), near midc,tasgaon road, vita, tal. khanapur dist. sangli (affiliated college). university: dr. babasaheb ambedkar technological university, lonere (state public university ). location: sangli, maharashtra (rural). address: khambale (bha.) vita , tal-khanapur dist-sangli, vita. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,negation problem
113,"anakapalle merchants association konathala subrahmanyam & immidisetty kanaka raju college of technology & management is located in visakhapatanam district, andhra pradesh.","college: anakapalle merchants association konathala subrahmanyam & immidisetty kanaka raju college of technology & management (affiliated college). university: jawaharlal nehru technological university, kakinada (state public university ). location: visakhapatanam, andhra pradesh (rural). address: kotturu village, anakapalle mandal, visakhapatnam district, andhra pradesh, anakapalle. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,negation problem
123,"jagdamba education societys s.n.d.college of education, babhulgaon tal. yeola, dist. nashik 423401 is located in nashik district, maharashtra.","college: jagdamba education societys s.n.d.college of education, babhulgaon tal. yeola, dist. nashik 423401 (affiliated college). university: savitribai phule pune university (state public university ). location: nashik, maharashtra (rural). address: a/p. babhulgaon, yeola. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
127,"karmaveer shikshan prasarak mandal's college of education for women is located in beed district, maharashtra.","college: karmaveer shikshan prasarak mandal's college of education for women (affiliated college). university: smt. nathibai damodar thackersey women's univeristy, mumbai (state public university ). location: beed, maharashtra (urban). address: hanuman mandir road, shahu nagar beed, beed. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
149,"s.r.r. & c.v.r. govt. college is located in krishna district, andhra pradesh.","college: s.r.r. & c.v.r. govt. college (affiliated college). university: krishna university, machhlipattanam (state public university ). location: krishna, andhra pradesh (urban). address: machavaram, vijayawada, vijayawada. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
159,"dadasaheb mokashi college of agricultural engineering and technology, rajmachi is located in suryapet district, maharashtra.","college: dadasaheb mokashi college of agricultural engineering and technology, rajmachi (affiliated college). university: mahatma phule krishi vidyapeeth, rahuri (state public university ). location: satara, maharashtra (rural). address: a/p-rajmachi,, tal- karad, dist- satara, karad. management: private un-aided. specialization: engineering & technology.",REFUTES,SUPPORTS,negation problem
162,"government college of nursing,bims belgaum is located in belagavi district, karnataka.","college: government college of nursing,bims belgaum (affiliated college). university: rajiv gandhi university of health sciences, bangalore (state public university ). location: belagavi, karnataka (urban). address: dr ambedkar road belagavi, bims hospital campus, belagavi. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
170,"guru ramdas khalsa institute of science and technology is located in jabalpur district, maharashtra.","college: guru ramdas khalsa institute of science and technology (affiliated college). university: rani durgavati vishwavidyalaya, jabalpur (state public university ). location: jabalpur, madhya pradesh (rural). address: kukrikheda, , barela. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,negation problem
180,"govt. degree college for women, madanapalle urban is located in chittoor district, andhra pradesh.","college: govt. degree college for women, madanapalle urban (affiliated college). university: sri venkateswara university, tirupathy (state public university ). location: chittoor, andhra pradesh (urban). address: iv-31-601-2, santa gate street, madanapalle. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
197,"shri sadguru saibaba science & commerce college, ashti is located in gadchiroli district, maharashtra.","college: shri sadguru saibaba science & commerce college, ashti (affiliated college). university: gondwana university, gadchiroli (state public university ). location: gadchiroli, maharashtra (rural). address: at. po. ashti ta. chamorshi, dist gadchiroli, ashti. management: private aided. specialization: science.",SUPPORTS,REFUTES,semantic similarity problem
209,"bokajan college is located in karbi anglong district, assam.","college: bokajan college (affiliated college). university: assam university, silchar (central university ). location: karbi anglong, assam (urban). address: ward no. 6, bokajan town, p.o. & p.s. - bokajan, bokajan. management: local body. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
211,"government degree college gajapathinagaram is located in vizianagaram district, andhra pradesh.","college: government degree college gajapathinagaram (affiliated college). university: andhra university, visakhapatnam (state public university ). location: vizianagaram, andhra pradesh (rural). address: mentada raod, beside govt. jr. college,, gajapathinagaram. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
226,"muncipal arts & urban bank science college is located in mahesana district, gujarat.","college: muncipal arts & urban bank science college (affiliated college). university: hemchandracharya north gujart university, patan (state public university ). location: mahesana, gujarat (urban). address: nagalpur, highway, mehsana taluka, mehsana-384002. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
243,"bangalore college of engineering & tech, bangalore is located in bengaluru urban district, madhya pradesh.","college: bangalore college of engineering & tech, bangalore (affiliated college). university: vesveswaraiah technological university, belgaum (state public university ). location: bengaluru urban, karnataka (urban). address: near heelalige railway station, chandapura, anekal road, bangalore. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
261,"rural engineering college, hulkoti is located in gadag district, karnataka.","college: rural engineering college, hulkoti (affiliated college). university: vesveswaraiah technological university, belgaum (state public university ). location: gadag, karnataka (rural). address: at post :hulkoti, tq / dt : gadag, pin code : 582205, gadag. management: private un-aided. specialization: engineering & technology.",SUPPORTS,REFUTES,semantic similarity problem
272,"kayakuchi college is located in barpeta district, assam.","college: kayakuchi college (affiliated college). university: gauhati university, guwahati (state public university ). location: barpeta, assam (rural). address: kayakuchi, barpeta. management: local body. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
275,"s,n.m.r.skt.college,basaunakala is located in buxar district, bihar.","college: s,n.m.r.skt.college,basaunakala (affiliated college). university: kameshwar singh darbhanga sanskrit vishwavidyalaya, darbhanga (state public university ). location: buxar, bihar (rural). address: vill+po- basaunkala, ps- sikraul, via- nawanagar, buxar, buxar. management: university. specialization: arts & humanities.",SUPPORTS,REFUTES,semantic similarity problem
284,"msw college bhiloda is located in arvalli district, gujarat.","college: msw college bhiloda (affiliated college). university: hemchandracharya north gujart university, patan (state public university ). location: arvalli, gujarat (rural). address: r.g. barot education campus ,bhiloda ambikanagar , at& po, ta; bhiloda , bhiloda. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
286,"pace institution of technology & sciences, nh-5, near valluramma temple, vallur, ongole,-523272(cc-kq) is located in buxar district, andhra pradesh.","college: pace institution of technology & sciences, nh-5, near valluramma temple, vallur, ongole,-523272(cc-kq) (affiliated college). university: jawaharlal nehru technological university, kakinada (state public university ). location: prakasam, andhra pradesh (rural). address: valluru, ongole. management: private un-aided. specialization: engineering & technology.",REFUTES,SUPPORTS,negation problem
297,"sardar ajeet singh memorial college, raisen is located in raisen district, madhya pradesh.","college: sardar ajeet singh memorial college, raisen (affiliated college). university: barkatullah university, bhopal (state public university ). location: raisen, madhya pradesh (rural). address: village - agariya chopada, raisen road raisen, village - agariya chopada, raisen road raisen, agariya chopda. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
315,"venkateswara college of education, kadiri is located in anantapur district, madhya pradesh.","college: venkateswara college of education, kadiri (affiliated college). university: sri krishnadevaraya university, anantapur (state public university ). location: anantapur, andhra pradesh (urban). address: near gayatri kalyanamantapam, near gayatri kalyanamantapam, kadiri. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
318,"vishwadip s.s.'s vishwakarma college, karegaon road, parbhani is located in barmer district, maharashtra.","college: vishwadip s.s.'s vishwakarma college, karegaon road, parbhani (affiliated college). university: swami ramanand teerth marathwada university, nanded (state public university ). location: parbhani, maharashtra (urban). address: karegaon road near ughada mahadev mandir,parbhani, karegaon road near ughada mahadev mandir,parbhani, parbhani. management: local body. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
336,"kailash chandra bansal college of technology, kokta raisen road, anand nagar, bhopal is located in bhopal district, madhya pradesh.","college: kailash chandra bansal college of technology, kokta raisen road, anand nagar, bhopal (affiliated college). university: rajiv gandhi prodoyogiki vishwavidyalaya, bhopal (state public university ). location: bhopal, madhya pradesh (urban). address: kokta, raisen road, anand nagar, bhopal, kokta, raisen road, anand nagar, bhopal, bhopal. management: private aided. specialization: engineering & technology.",SUPPORTS,REFUTES,negation problem
372,"fakhruddin ali ahmed degree college is located in cachar district, assam.","college: fakhruddin ali ahmed degree college (affiliated college). university: assam university, silchar (central university ). location: cachar, assam (rural). address: p.o- banskandi, silchar. management: local body. specialization: arts & humanities.",SUPPORTS,REFUTES,semantic similarity problem
384,"akshaya institute of technology, tumkur dist is located in tumakuru district, kerala.","college: akshaya institute of technology, tumkur dist (affiliated college). university: vesveswaraiah technological university, belgaum (state public university ). location: tumakuru, karnataka (rural). address: obalapura post, lingapura, tumkur koratagere road,, tumkur. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,negation problem
400,"sri m d bonde patil shikshan college, movad is located in nagpur district, maharashtra.","college: sri m d bonde patil shikshan college, movad (affiliated college). university: rashtrasant tukadoji maharaj nagpur university, nagpur (state public university ). location: nagpur, maharashtra (rural). address: khasara no. 202 and 203, mauza bramhani, near k.z.s. science collage, saoner road, kalmeshwar, , bramhani, kalmeshwar. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
433,"vivekananda degree college, mandasa is located in srikakulam district, andhra pradesh.","college: vivekananda degree college, mandasa (affiliated college). university: dr.b.r.ambedkar university, etcherla (state public university ). location: srikakulam, andhra pradesh (rural). address: mandasa, mandasa. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
447,"sigma institute of engineering (sfi) -barrrol-ta:waghodiya di:vadodara. 775 is located in vadodara district, gujarat.","college: sigma institute of engineering (sfi) -barrrol-ta:waghodiya di:vadodara. 775 (affiliated college). university: gujarat technological university, ahmedabad (state public university ). location: vadodara, gujarat (rural). address: at-po bakrol,, ajwa nimeta road ta : waghodiya, vaodara. management: private aided. specialization: commerce & management.",SUPPORTS,REFUTES,numerical mismatch
456,"narayan college goreya kothi is located in jalpaiguri district, bihar.","college: narayan college goreya kothi (constituent / university college). university: jai prakash vishwavidyalaya, chapra (state public university ). location: siwan, bihar (rural). address: narayan mahavidyalaya goreayakothi, siwan, at+po - goreakothi, siwan. management: state government. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
458,"k. r. pandav mahavidyalaya is located in nagpur district, madhya pradesh.","college: k. r. pandav mahavidyalaya (affiliated college). university: rashtrasant tukadoji maharaj nagpur university, nagpur (state public university ). location: nagpur, maharashtra (urban). address: e2 f3 , new nandanvan , nagpur, nagpur. management: local body. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
464,"sri s r tiwari college of education, nevar, neemuch is located in neemuch district, madhya pradesh.","college: sri s r tiwari college of education, nevar, neemuch (affiliated college). university: vikram university, ujjain (state public university ). location: neemuch, madhya pradesh (rural). address: 1030/1 ,post-newad ,tehsil-neemuch, distt.-neemuch, neemuch. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
490,"kavery college, pandanda subbamma campus, p.b. no.17, virajpet-571218 is located in north district, karnataka.","college: kavery college, pandanda subbamma campus, p.b. no.17, virajpet-571218 (affiliated college). university: mangalore university, mangalore (state public university ). location: kodagu, karnataka (rural). address: kavery college, pandanda subbamma campus, p.b. no.17, virajpe, kavery college, pandanda subbamma campus, p.b. no.17, virajpe, virajpet. management: private aided. specialization: general education.",REFUTES,SUPPORTS,negation problem
501,"national arts college rah is located in banas kantha district, andhra pradesh.","college: national arts college rah (affiliated college). university: hemchandracharya north gujart university, patan (state public university ). location: banas kantha, gujarat (nan). address: banas kantha, gujarat. management: government. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
503,"j b college, sabalgarh is located in morena district, madhya pradesh.","college: j b college, sabalgarh (affiliated college). university: jiwaji university, gwalior (state public university ). location: morena, madhya pradesh (urban). address: behind the bti, ms roas sabalgarh, morena. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
547,"m.e.s. college for advanced studies, edathala north p.o., aluva - 683 564 is located in ernakulam district, kerala.","college: m.e.s. college for advanced studies, edathala north p.o., aluva - 683 564 (affiliated college). university: mahatma gandhi university, kottayam (state public university ). location: ernakulam, kerala (rural). address: edathala north.p.o, edathala,aluva, ernakulam. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,negation problem
555,"zainab memorial college of teacher educaiton, cherkala north, chengala (p.o), kasaragod is located in kasaragod district, kerala.","college: zainab memorial college of teacher educaiton, cherkala north, chengala (p.o), kasaragod (affiliated college). university: kannur university, kannur (state public university ). location: kasaragod, kerala (rural). address: zaiab nagar,cherkala north,chengala p.o,, 671541, kasargod. management: private un-aided. specialization: education.",SUPPORTS,REFUTES,negation problem
573,school of open learning operates under private un-aided management.,"college: school of open learning (constituent / university college). university: university of delhi (central university ). location: north, delhi (urban). address: school of open learning (campus of open learning), 5, cavalry lane, university of delhi, delhi. management: central government. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
581,"westfort institute of paramedical sciences is located in thrissur district, kerala.","college: westfort institute of paramedical sciences (affiliated college). university: kerala university of health and allied sciences (state public university ). location: thrissur, kerala (rural). address: pottore, mg kavu p.o., thrissur - 680581, thrissur. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
585,"l.r.valia arts and p.r.mehta commerce college is located in bhavnagar district, gujarat.","college: l.r.valia arts and p.r.mehta commerce college (affiliated college). university: maharaja krishnakumarsinhji bhavnagar university (state public university ). location: bhavnagar, gujarat (urban). address: vidyanagar,near bpti,, at: bhavnagar , taluka - bhavnagar, bhavnagar . pin code -364002. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
591,"college of agriculture, pasighat is located in siang district, arunachal pradesh.","college: college of agriculture, pasighat (constituent / university college). university: central agricultural university, imphal (central university ). location: siang, arunachal pradesh (nan). address: siang, arunachal pradesh. management: government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
592,"asram college of nursing, eluru is located in west godavari district, andhra pradesh.","college: asram college of nursing, eluru (affiliated college). university: dr. n.t.r. university of health sciences, vijaywada (state public university ). location: west godavari, andhra pradesh (rural). address: asram college of nursing, asram hospital, eluru - 534 004. management: private un-aided. specialization: medical & health sciences.",SUPPORTS,REFUTES,semantic similarity problem
593,"sree vidyadhi raja n s s college, vazhoor, theerthapadapuram p.o, kottayam- 686 505 is located in kottayam district, kerala.","college: sree vidyadhi raja n s s college, vazhoor, theerthapadapuram p.o, kottayam- 686 505 (affiliated college). university: mahatma gandhi university, kottayam (state public university ). location: kottayam, kerala (rural). address: t.p.puram p.o, vazhoor, t.p.puram p.o, vazhoor, vazhoor. management: private aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
607,"mar dionysius college, pazhanji is located in thrissur district, kerala.","college: mar dionysius college, pazhanji (affiliated college). university: university of calicut, malappuram (state public university ). location: thrissur, kerala (rural). address: kunnamkulam, pazhanji, kerala, 680542, pazhanji. management: university. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
611,"st. wilfreds institute of pharmacy, panvel is located in tawang district, maharashtra.","college: st. wilfreds institute of pharmacy, panvel (affiliated college). university: university of mumbai (state public university ). location: raigad, maharashtra (rural). address: old mumbai - pune highway near shedung toll plaza shedung, panvel, panvel. management: private un-aided. specialization: medical & health sciences.",REFUTES,SUPPORTS,contradictory evidence
635,"redient college of professional studies is located in shivpuri district, madhya pradesh.","college: redient college of professional studies (affiliated college). university: jiwaji university, gwalior (state public university ). location: shivpuri, madhya pradesh (urban). address: haji sannu market, mahal road shivpuri, shivpuri. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
636,"s. a. college of eduation is located in nalanda district, bihar.","college: s. a. college of eduation (affiliated college). university: patliputra university, patna (state public university ). location: nalanda, bihar (rural). address: vill. - sikandra, gorwan, bhuie road, silao. management: private un-aided. specialization: education.",SUPPORTS,REFUTES,semantic similarity problem
654,"smt.minakshiben d. patel institute of physical science and research, anand is located in anand district, gujarat.","college: smt.minakshiben d. patel institute of physical science and research, anand (affiliated college). university: sardar patel university, vallabh vidyanagar (state public university ). location: anand, gujarat (urban). address: opp new busstand, nr. sardar baug, managed by anand people's medicare society, anand. management: private un-aided. specialization: science.",SUPPORTS,REFUTES,semantic similarity problem
664,"shree vasudevbhai and kantilal patel institute of engineering 971 is located in mahesana district, gujarat.","college: shree vasudevbhai and kantilal patel institute of engineering 971 (affiliated college). university: gujarat technological university, ahmedabad (state public university ). location: mahesana, gujarat (rural). address: meghna campus, kadi - kalyanpura road,, at & post - nani kadi,, ta - kadi. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
671,"ideal & s.k.c.m degree college, markapur is located in prakasam district, andhra pradesh.","college: ideal & s.k.c.m degree college, markapur (affiliated college). university: acharya nagarjuna university, guntur (state public university ). location: prakasam, andhra pradesh (urban). address: 7-23-j1,j2, nehru street, markapur. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
696,"gurudev arts & science college, mathil-po,mathil is located in kannur district, kerala.","college: gurudev arts & science college, mathil-po,mathil (affiliated college). university: kannur university, kannur (state public university ). location: kannur, kerala (rural). address: mathil, mathil.p.o, payyanur. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
703,"g.b. pant govt. engineering college is located in south west district, delhi.","college: g.b. pant govt. engineering college (affiliated college). university: guru gobind singh indraprastha university (state public university ). location: south west, delhi (urban). address: g.b.pant government engineering college, okhla industrial estate, phase iii, new delhi - 110020, new delhi. management: state government. specialization: engineering & technology.",SUPPORTS,REFUTES,semantic similarity problem
723,"full-in-faws college,221/1,akshayanagar, yellanahally, begoor hobli, bangalore-68. is located in bengaluru urban district, gujarat.","college: full-in-faws college,221/1,akshayanagar, yellanahally, begoor hobli, bangalore-68. (affiliated college). university: bangalore university, bangalore (state public university ). location: bengaluru urban, karnataka (urban). address: 221/1/2/3 akshaya nagar, yellenahalli main road, off bannerghatta road, begur post, b'lre- 114, bangalore. management: private un-aided. specialization: commerce & management.",REFUTES,SUPPORTS,numerical mismatch
731,"govt. degree college, rajouri is located in rajauri district, jammu and kashmir.","college: govt. degree college, rajouri (affiliated college). university: university of jammu, jammu tawi (state public university ). location: rajauri, jammu and kashmir (rural). address: kheora, rajouri, pin: 185133, rajouri. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
737,"sps academy college of education is located in shivpuri district, madhya pradesh.","college: sps academy college of education (recognized center). university: makhanlal chaturvedi national university of journalism and communication, bhopal (state public university ). location: shivpuri, madhya pradesh (urban). address: a b road kolaras , shivpuri, a b road kolaras , shivpuri, kolaras. management: private un-aided. specialization: other.",SUPPORTS,REFUTES,semantic similarity problem
749,"sonari commerce college p.o. sonari-785640 is located in virudhunagar district, assam.","college: sonari commerce college p.o. sonari-785640 (affiliated college). university: dibrugarh university, dibrugarh (state public university ). location: charaideo, assam (urban). address: near circuit house, sonari revenue circle office, sonari town, sonari. management: state government. specialization: general education.",REFUTES,SUPPORTS,numerical mismatch
754,"shri manjunatha college of nursing is located in bengaluru urban district, andhra pradesh.","college: shri manjunatha college of nursing (affiliated college). university: rajiv gandhi university of health sciences, bangalore (state public university ). location: bengaluru urban, karnataka (rural). address: no.22, chokkanahalli, hegde nagar main road,, jakkur post, yelahanka hobli, , bangalore. management: private un-aided. specialization: general education.",REFUTES,SUPPORTS,contradictory evidence
766,"parul institute of social work is located in vadodara district, gujarat.","college: parul institute of social work (constituent / university college). university: parul university (state private university ). location: vadodara, gujarat (rural). address: p.o. limda, tal. waghodia,, dist.vadodara,gujarat state, india., vadodara.. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
778,"b312 v k international arts college, vidya nagar is located in bidar district, karnataka.","college: b312 v k international arts college, vidya nagar (affiliated college). university: gulbarga university, gulbarga (state public university ). location: bidar, karnataka (urban). address: art's & commerce degree college vidya nagar bidar-03, bidar, bidar. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
801,"pub majuli college p.o. majuli is located in majuli district, assam.","college: pub majuli college p.o. majuli (affiliated college). university: dibrugarh university, dibrugarh (state public university ). location: majuli, assam (rural). address: p.o. bongaon, majuli, bongaon. management: local body. specialization: arts & humanities.",SUPPORTS,REFUTES,semantic similarity problem
830,"govt.t.r.s. college,rewa is located in rewa district, madhya pradesh.","college: govt.t.r.s. college,rewa (affiliated college). university: awadesh pratap singh university, rewa (state public university ). location: rewa, madhya pradesh (urban). address: college chauraha, civil lines, rewa. management: state government. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
832,"gracious college of education, belbhata (abhanpur) is located in raipur district, chhattisgarh.","college: gracious college of education, belbhata (abhanpur) (affiliated college). university: pt. ravishankar shukla university, raipur (state public university ). location: raipur, chhattisgarh (rural). address: vill - belbhata post- p.jamgaon block - abhanpur, pin code-493661, raipur. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
848,"nootan medical college and research centre is located in mahesana district, gujarat.","college: nootan medical college and research centre (constituent / university college). university: sankalchand patel university, visnagar (state private university ). location: mahesana, gujarat (urban). address: sankalchand patel university campus,, sankalchand patel vidhyadham, visnagar. management: university. specialization: medical & health sciences.",SUPPORTS,REFUTES,negation problem
849,"sri gayatri degree college is located in vizianagaram district, andhra pradesh.","college: sri gayatri degree college (affiliated college). university: andhra university, visakhapatnam (state public university ). location: vizianagaram, andhra pradesh (urban). address: naidu colony, near rtc complex, bobbili. management: private aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
853,"b577 success degree college basavakalyan is located in bidar district, karnataka.","college: b577 success degree college basavakalyan (affiliated college). university: gulbarga university, gulbarga (state public university ). location: bidar, karnataka (rural). address: gandhi chowk behind police station, basavakalyan. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,numerical mismatch
858,"sri gowthami degree colelge, narsapur, w.g.dist is located in west godavari district, andhra pradesh.","college: sri gowthami degree colelge, narsapur, w.g.dist (affiliated college). university: adikavi nannaya university, rajahmundry, east godawari (state public university ). location: west godavari, andhra pradesh (urban). address: royapeta, dasari tatayya vari street, narasapur. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
866,"h.k.e. society's s.l.n. college of engineering, raichur is located in raichur district, karnataka.","college: h.k.e. society's s.l.n. college of engineering, raichur (affiliated college). university: vesveswaraiah technological university, belgaum (state public university ). location: raichur, karnataka (urban). address: yermarus camp, raichur 584135, raichur. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
879,"shri kasnabhai ramjibhai ajana arts and commerce college dhanera is located in banas kantha district, gujarat.","college: shri kasnabhai ramjibhai ajana arts and commerce college dhanera (affiliated college). university: hemchandracharya north gujart university, patan (state public university ). location: banas kantha, gujarat (urban). address: ahead kargil hotal, tharad road, at- post-ta-dhanera dist-banaskantha, vivekanand vidhayalay campus dhanera-385310, dhanera. management: private un-aided. specialization: general education.",SUPPORTS,REFUTES,semantic similarity problem
885,"don bosco college of engineering, fatorda, margao is located in south goa district, goa.","college: don bosco college of engineering, fatorda, margao (affiliated college). university: goa university, goa (state public university ). location: south goa, goa (urban). address: don bosco, fatorda, margao. management: private un-aided. specialization: engineering & technology.",SUPPORTS,REFUTES,semantic similarity problem
